iteration,learning_rate,last_perf,last_perf_cap,min_perf,time
in,in,out,out,out,out
int,float,float,float,float,float
324,0.000642857,1.566341615,1.566341615,1.388151073,56.536591
325,0.000657143,1.564003968,1.564003968,1.391227484,56.231591
326,0.000671429,1.541865134,1.541865134,1.386020601,60.375601
327,0.000685714,1.529806018,1.529806018,1.394774306,62.884709
328,0.0007,1.54794662,1.54794662,1.389164281,55.857146
329,0.000714286,1.546179342,1.546179342,1.384764516,55.010132
330,0.000714286,1.546179342,1.546179342,1.384764516,58.821772
331,0.000728571,1.560049939,1.560049939,1.379385281,55.210288
332,0.000742857,1.572586226,1.572586226,1.383246887,59.349785
333,0.000757143,1.581347203,1.581347203,1.390394926,57.89808
334,0.000771429,1.579018474,1.579018474,1.39044404,55.545251
335,0.000785714,1.580905974,1.580905974,1.38877424,56.433932
336,0.0008,1.589949059,1.589949059,1.3889099,58.252213
337,0.000814286,1.583507323,1.583507323,1.393288171,55.112395
338,0.000828571,1.587258673,1.587258673,1.400402772,61.564342
339,0.000842857,1.589399338,1.589399338,1.424182725,55.732161
340,0.000857143,1.389537287,1.389537287,1.215193558,60.259747
341,0.000857143,1.389537287,1.389537287,1.215193558,60.276354
342,0.000871429,1.602231956,1.602231956,1.437733686,62.336986
343,0.000885714,1.559745193,1.559745193,1.42346859,55.854959
344,0.0009,1.532703876,1.532703876,1.416394854,61.919505
345,0.000914286,1.472358572,1.472358572,1.366958439,60.422746
346,0.000928571,1.506680143,1.506680143,1.394216537,59.922138
347,0.000942857,1.53437165,1.53437165,1.413400531,62.066088
348,0.000957143,1.494156158,1.494156158,1.386374283,56.881668
349,0.000971429,1.505255735,1.505255735,1.385923624,55.766956
350,0.000985714,1.303744519,1.303744519,1.203386724,59.1607
351,0.001,1.235415053,1.235415053,1.120551777,61.376303
352,0.001142857,1.357915974,1.357915974,1.22341516,58.207207
353,0.001285714,1.28875922,1.28875922,1.150818121,58.331904
354,0.001428571,1.253898752,1.253898752,1.119906271,60.247733
355,0.001428571,1.253898752,1.253898752,1.119906271,60.109553
356,0.001571429,1.281202924,1.281202924,1.190642571,56.172134
357,0.001714286,1.329214525,1.329214525,1.229584277,55.225887
358,0.001857143,1.328842282,1.328842282,1.200740337,61.161591
359,0.002,1.309373116,1.309373116,1.193693197,61.01773
360,0.002142857,1.259868097,1.259868097,1.165385008,56.875548
361,0.002285714,1.202133489,1.202133489,1.061255527,60.676952
362,0.002428571,1.312430573,1.312430573,1.218094504,56.954206
363,0.002571429,1.275657773,1.275657773,1.190289617,61.540748
364,0.002714286,1.289543498,1.289543498,1.199617064,51.844564
