iteration,seed,last_activation,last_perf,min_perf,time
0,3130843470,linear,1.211158991,1.129571247,49.942826
1,3130843470,relu,1.214919269,1.133820701,47.515616
2,3130843470,leaky_relu,1.224134183,1.158657575,47.269694
0,2438523620,linear,1.26369518,1.125212586,50.593612
1,2438523620,relu,1.254738474,1.130758679,46.325996
2,2438523620,leaky_relu,1.263958943,1.156271756,47.237738
0,857896621,linear,1.243529034,1.133881843,41.697496
1,857896621,relu,1.230205202,1.131698191,39.8321
2,857896621,leaky_relu,1.264224422,1.128294289,44.1527
0,713354246,linear,1.330800319,1.172652042,44.719504
1,713354246,relu,1.364079404,1.222131217,46.657888
2,713354246,leaky_relu,1.360494673,1.268406105,41.796464
0,3741425905,linear,1.200936007,1.100601876,47.235702
1,3741425905,relu,1.200936007,1.100601864,47.090748
2,3741425905,leaky_relu,1.200935984,1.100601864,47.263692
0,1268318305,linear,1.221048832,1.084211183,45.037429
1,1268318305,relu,1.224758089,1.10333333,43.408941
2,1268318305,leaky_relu,1.222430313,1.098993683,43.995751
0,4184131833,linear,1.244791615,1.143106806,43.096041
1,4184131833,relu,1.25453819,1.145055342,40.304945
2,4184131833,leaky_relu,1.299742198,1.180351162,42.667192
0,3323932011,linear,1.309539187,1.173548245,42.02741
1,3323932011,relu,1.309539187,1.173548245,41.897418
2,3323932011,leaky_relu,1.309539187,1.173548245,42.009394
0,1887018633,linear,1.2359025,1.12127403,45.426278
1,1887018633,relu,1.246147323,1.132659268,48.022447
2,1887018633,leaky_relu,1.266114545,1.138940012,44.495588
0,266667398,linear,1.227654171,1.055506575,42.811136
1,266667398,relu,1.216507506,1.108423948,44.723516
2,266667398,leaky_relu,1.20903635,1.079491508,49.006129
0,3789594415,linear,1.332848537,1.23431375,49.46198
1,3789594415,relu,1.329221451,1.236242998,44.294645
2,3789594415,leaky_relu,1.321574116,1.15720017,49.303032
0,3322137288,linear,1.284354448,1.198246288,45.601231
1,3322137288,relu,1.217288482,1.126346099,50.918523
2,3322137288,leaky_relu,1.232800329,1.139160168,50.854528
0,2347613236,linear,1.216092634,1.117904651,49.935826
1,2347613236,relu,1.264775288,1.200830317,41.442576
2,2347613236,leaky_relu,1.208543026,1.140904713,48.193399
0,924161546,linear,1.298446453,1.131602848,47.901487
1,924161546,relu,1.209245658,1.132684994,47.639576
2,924161546,leaky_relu,1.277556312,1.140204322,48.776201
0,784471543,linear,1.231394899,1.14029547,51.987149
